#{"t_start": 1736700236.8632758, "env_id": "CustomHopper-source-v0"}
r,l,t
7.017957,13,0.35035
22.120302,22,0.378308
8.818599,15,0.397234
29.723847,36,0.441203
8.204971,24,0.603637
13.176689,16,0.823602
14.524202,14,1.006482
7.774818,15,1.200611
10.886058,15,1.477797
7.521271,10,1.612818
10.976643,38,5.801117
12.342462,32,6.213881
11.126753,39,6.814833
10.864562,15,7.02615
141.30271,77,8.064572
21.721958,24,8.384223
12.064238,28,8.767664
3.697419,25,9.095566
12.128436,16,9.304742
44.633286,51,9.971113
10.026681,12,10.147765
5.001136,19,10.403538
7.754823,24,10.731089
12.032768,30,11.13167
141.725629,104,12.554469
82.575208,56,13.323868
61.624442,36,13.816367
41.713087,31,14.265513
132.210026,98,15.649851
49.729495,29,16.050551
20.838953,22,16.368248
178.003359,101,18.051871
55.224589,32,18.583419
59.433188,34,19.149536
88.650348,50,19.961336
121.355951,77,21.199167
50.101136,29,21.67798
197.124746,94,23.240649
191.085921,85,24.614598
184.808741,92,26.106577
150.056132,73,27.294456
88.787139,51,28.131534
189.307157,93,29.634802
203.975091,93,31.151043
194.026876,98,32.773369
182.430428,86,34.429193
206.252092,95,36.092433
194.121761,96,37.67502
205.587278,102,42.892683
191.730742,95,44.442234
203.293587,99,46.114181
190.912465,95,47.680548
211.337676,102,49.433064
186.342498,90,50.842107
199.953767,92,52.745367
205.654443,101,54.377043
192.975885,94,56.058922
120.971214,64,57.201288
195.958881,97,58.780639
114.1867,60,59.771852
199.934395,91,61.267952
210.944834,100,62.909872
202.639694,93,64.420574
203.406761,90,65.88194
207.986498,92,67.376384
202.273878,91,68.874634
201.380012,89,70.328667
193.838501,89,71.819901
207.103512,92,73.329463
203.770603,91,78.363016
219.571605,96,79.916748
201.304855,90,81.391233
216.035484,94,82.927052
214.005084,93,84.415757
206.312343,91,85.903938
212.181805,93,87.381501
202.707888,90,88.839227
197.605785,88,90.274328
205.479297,90,91.714555
218.24827,96,93.257245
213.733146,108,95.023114
214.263606,94,96.549279
205.982585,91,98.57854
222.549338,96,101.3961
197.675815,87,103.007936
225.244388,97,106.031772
216.006938,101,109.443843
223.822282,103,116.582832
74.938167,42,117.389323
214.185263,93,119.216032
224.1604,114,121.464228
230.917976,98,123.351615
256.729223,121,125.416359
221.605657,96,127.183187
218.488583,97,128.84998
231.437386,98,130.453351
220.812616,95,132.031415
239.882082,100,133.649722
253.779572,106,135.389288
237.405445,101,137.033156
250.09564,105,138.798336
247.778588,103,140.474325
257.952008,108,142.317681
262.0341,109,144.115465
285.600335,134,149.85207
246.810652,104,151.519197
274.416745,114,153.517343
275.56193,113,155.533829
278.667851,117,157.870951
273.14473,115,159.810433
280.863379,119,161.747074
274.387804,117,163.637651
272.183045,121,165.603948
272.329154,117,167.476695
264.251485,116,169.317168
265.792305,116,171.185637
264.46666,112,173.098932
267.138936,114,174.940112
270.788673,116,176.805268
279.682635,121,178.736876
266.789686,114,180.56792
269.398528,114,185.900704
274.582706,119,187.836505
264.454378,112,189.677194
267.663842,115,191.513883
257.147014,108,193.250908
260.211999,112,195.050505
258.28664,108,196.768468
257.17146,120,198.69698
251.159927,115,200.582339
252.519829,108,202.307914
244.227674,108,204.140218
256.820957,122,206.128423
255.550903,111,207.893815
259.62943,107,209.583323
265.476075,109,211.323283
270.046839,109,213.060863
258.798507,117,214.947991
254.052668,114,220.456275
251.584453,110,222.213691
244.362638,109,224.009135
242.623516,109,225.822938
245.635552,109,227.592294
243.877347,108,229.312333
246.723683,106,231.008911
276.250216,112,232.811895
258.666847,115,234.762279
267.865501,115,236.634041
247.577518,104,238.278019
251.17806,109,239.9934
270.249132,111,241.766124
263.710645,108,243.559793
260.544952,113,245.408825
253.939167,110,247.372329
264.818855,109,249.093187
275.989235,112,250.999515
266.043989,107,256.213565
252.692335,110,257.967963
253.317175,106,259.699244
253.455552,105,261.417457
237.746444,110,263.242698
242.36295,101,264.999653
250.96432,107,266.77636
245.287569,104,268.472605
251.775308,105,270.18978
244.816066,109,271.944915
255.149407,106,273.657955
256.403601,107,275.378304
279.443431,114,277.222901
265.621452,110,279.018064
273.610015,108,280.879772
257.187686,108,282.658113
281.840438,113,284.613084
270.29927,112,286.326908
316.977896,145,291.921534
296.664625,117,293.802627
298.857568,119,295.829424
288.121574,125,297.848655
304.746355,130,299.99251
318.880649,123,302.038691
311.772964,122,304.018835
311.859921,123,306.043762
314.714893,126,308.068736
316.146542,128,310.162605
296.221438,119,312.107451
304.796589,123,314.06595
300.899729,121,315.97895
361.870541,137,318.155329
305.036941,122,320.105037
313.443047,122,322.05556
296.241116,116,327.423003
297.897754,118,329.354887
305.997812,123,331.378439
259.682371,108,333.119783
271.567807,112,334.937124
279.013332,115,336.814887
276.444057,113,338.781652
271.129111,113,340.631967
287.666026,117,342.519523
275.218537,112,344.37452
271.938064,123,346.316743
276.482165,115,348.154522
296.117343,117,349.9966
282.771675,115,351.849687
304.409659,122,353.923237
289.228786,122,355.92267
291.132214,124,357.913229
298.156068,127,363.208836
295.267104,123,365.193773
286.73269,119,367.136378
292.852651,126,369.176502
315.565795,129,371.330992
318.631888,131,373.453711
310.192472,129,375.532253
311.489451,125,377.524682
296.226714,126,379.542765
313.061372,125,381.534745
300.970126,126,383.550665
370.937083,146,386.005484
284.776962,114,387.843336
297.029963,118,389.746991
39.307944,25,390.15003
41.423404,25,390.551966
261.972428,119,392.459564
39.488496,25,392.861946
295.755565,121,394.826729
315.904161,134,400.65127
271.853312,121,402.751151
291.031849,127,404.955228
260.641097,114,407.05316
268.699393,119,409.035122
291.412438,120,410.984722
271.897187,115,412.868654
277.899692,112,414.796341
280.442086,117,416.852164
266.860992,113,418.669791
279.349381,125,420.659246
412.428111,157,423.14496
385.26261,149,425.533026
298.960604,121,427.462039
478.310372,179,430.414195
243.383641,111,435.572638
261.817447,124,437.67751
256.645153,107,439.409111
306.48075,127,441.471071
260.976578,117,443.377241
288.230411,125,445.452908
227.607182,99,447.117903
268.107116,123,449.101425
239.509293,112,450.895263
370.99194,145,453.226296
255.377293,111,455.033501
292.952702,132,457.166049
284.573249,124,459.217699
263.623932,117,461.095712
280.106626,144,463.470012
353.049085,136,465.697673
329.6251,164,471.746766
360.463175,141,474.014424
355.933543,172,476.919174
342.613495,142,479.221336
350.47218,141,481.487044
332.892577,144,483.794798
328.533599,142,486.103279
333.064251,133,488.26162
328.951853,148,490.688478
353.674138,138,492.893277
329.97893,148,495.286673
340.176694,141,497.546786
355.878189,138,499.820016
331.835683,143,505.498879
354.8297,137,507.780996
343.516591,147,510.189173
56.712256,31,510.689142
336.711782,136,512.849913
358.510523,142,515.250687
344.727805,134,517.464925
335.875811,134,519.639938
347.471914,136,522.005175
334.973523,134,524.200109
349.928132,134,526.360085
352.312294,137,528.534463
353.593121,136,530.699162
326.797716,128,532.732794
339.48775,131,534.985383
319.790313,127,537.025196
303.659636,124,542.416816
352.623852,132,544.663463
326.85943,126,546.814952
315.756273,126,548.90256
330.561692,128,551.135437
325.528506,129,553.159057
362.259874,136,555.428468
344.000057,131,557.540084
360.117522,135,559.739661
343.557134,132,561.986989
360.472316,135,564.114055
334.002317,130,566.431345
337.091906,130,568.451787
322.703748,130,570.649693
330.525088,131,573.032437
356.693557,135,578.527667
351.79265,133,580.909892
359.329101,134,583.46531
359.885346,134,585.627492
348.705842,134,587.92728
349.980554,135,590.011612
357.018663,139,592.270452
358.480264,137,594.489346
344.265132,133,596.779556
366.538626,140,599.017867
338.710397,136,601.25854
328.68087,132,603.409438
336.786717,137,605.615511
404.109984,155,608.075972
432.751255,162,614.18288
436.025328,162,616.858606
319.853469,132,618.972936
394.09425,149,621.392117
448.449597,168,624.089807
432.00782,164,626.932165
417.843071,160,629.524495
428.841289,162,632.102497
437.327612,163,634.702021
482.810502,177,637.547423
423.493433,160,640.175562
400.942942,155,642.688652
401.229964,153,648.571528
355.279594,142,650.864166
498.154286,180,653.75159
372.892144,151,656.211679
454.190135,171,659.149587
410.358524,169,661.882925
390.424024,154,664.363842
467.153338,171,667.093317
340.22868,143,669.36825
378.44857,152,671.896983
349.622215,142,674.179513
370.166694,148,676.626622
334.406685,141,678.875236
434.060232,158,684.875998
335.406727,143,687.193942
431.461594,164,689.970495
458.227468,169,692.723318
313.250305,126,694.758354
336.282155,140,697.05946
354.506059,146,699.560793
335.438699,137,701.87341
407.866588,154,704.395689
319.807651,128,706.464804
337.939052,138,708.697683
325.700298,131,710.851557
325.266775,130,712.964302
444.540625,152,718.607976
370.943597,146,721.427552
351.100654,140,724.101687
332.493901,131,726.600154
334.07603,131,729.090523
341.34501,137,731.746299
346.373949,136,734.449443
358.418077,142,737.332843
355.826224,140,740.09881
415.543109,153,742.832552
409.670506,152,745.283108
378.929164,145,747.699151
414.792884,151,750.340212
354.568065,138,751.724017
429.468969,157,754.239645
354.414905,139,756.485563
351.874764,137,758.710624
360.122795,142,761.011697
418.568132,153,763.565883
347.26463,136,765.814693
344.823145,134,767.969218
398.181865,149,770.414165
435.311536,154,772.906463
427.535131,151,775.570534
395.134988,144,778.239425
441.184647,156,780.985283
449.674596,162,785.929104
347.571068,135,788.320945
432.223644,155,791.0573
418.014742,153,793.627076
439.194916,156,796.248292
447.48146,158,798.88148
450.744995,159,801.558205
345.959768,135,803.751483
11.358956,11,803.939092
461.59738,161,806.6846
7.838232,9,806.838552
418.235298,150,809.431247
427.864003,156,811.982295
441.704097,157,814.559459
439.839238,162,819.585016
433.028397,153,822.178607
467.067236,166,825.242349
409.938112,153,827.812054
453.706455,164,830.524234
472.023683,173,833.348089
435.186742,159,835.981048
411.990201,149,838.570284
441.166628,169,841.334632
466.862652,170,844.164047
437.881572,161,847.038107
460.368942,166,849.783293
441.156733,160,855.144166
465.01375,172,858.230914
462.891388,170,861.167148
440.68199,162,863.827342
464.297659,167,866.618041
457.014805,171,869.616523
454.054216,172,872.403371
466.381635,172,875.229417
445.582703,167,878.006822
485.930101,182,881.123345
447.685366,167,884.117102
495.62114,181,889.562257
533.537765,191,892.786427
500.916463,185,895.966135
560.176605,205,899.45412
485.968915,178,902.391357
456.065696,163,905.110404
484.080593,176,907.999367
514.545247,181,910.981854
434.594462,156,913.651636
473.612966,172,916.615295
467.865472,174,919.471366
452.514739,153,924.678763
359.314015,154,927.442302
443.604912,169,930.46494
430.339814,159,933.085426
414.253285,157,935.66369
462.583396,178,938.677594
452.592798,169,941.464038
437.501074,172,944.345173
574.43959,218,948.019153
571.645569,204,951.389459
555.103733,207,954.78643
476.018721,206,960.86604
544.526761,208,964.458328
587.034385,202,967.811628
561.109824,210,971.29028
582.727095,205,974.733402
616.341475,235,978.639666
469.049233,170,981.423071
616.295869,218,984.997731
46.428976,30,985.476245
569.601854,209,989.06326
33.903417,25,989.479011
579.621795,219,995.927112
578.246999,215,999.647361
650.134455,228,1003.384518
571.500394,199,1006.851526
609.163597,234,1010.699656
585.669763,232,1014.499219
735.52848,291,1019.401439
572.09593,210,1022.86027
449.201339,159,1028.132526
597.163916,202,1031.423612
692.804116,266,1036.024567
606.51742,222,1039.703741
706.172265,262,1044.008477
720.355353,271,1048.580819
613.085931,230,1052.353713
571.4584,197,1055.635972
587.52585,210,1059.120973
556.226447,216,1065.852282
534.297986,197,1069.260914
584.665344,228,1073.064631
640.607497,231,1076.833426
600.364547,213,1080.438433
598.821693,213,1083.938137
628.414581,215,1087.511312
644.161678,228,1091.969978
581.631587,212,1098.28317
618.811425,229,1102.051174
554.652592,211,1105.584202
490.0629,170,1108.395712
689.78006,268,1112.946715
520.128226,202,1116.260756
511.584223,204,1119.665689
458.386383,157,1122.259312
512.766179,195,1125.79292
575.744593,249,1129.966361
687.023773,270,1137.57142
571.714698,203,1141.094446
513.714812,228,1144.874132
498.128211,220,1148.732185
583.493613,275,1153.40475
765.63152,362,1159.441426
594.303367,234,1163.368896
636.816169,237,1170.10281
829.898973,318,1175.66611
797.674486,310,1180.783492
968.152614,366,1187.11833
755.834371,276,1191.750154
702.924196,254,1196.169524
619.405636,227,1203.025726
778.806169,282,1207.847737
645.848211,223,1211.58584
681.631363,225,1215.544031
685.14582,239,1220.439278
671.898179,234,1225.149005
655.415555,221,1229.746193
533.53061,182,1233.453107
558.264959,192,1239.899125
713.881036,233,1244.736009
560.592224,197,1248.952869
678.512896,239,1253.759648
622.058363,213,1258.051439
619.022808,213,1262.458231
572.43561,203,1266.54761
672.515035,219,1273.613727
528.872019,178,1277.397945
63.381219,35,1278.141587
498.690995,166,1281.530238
524.272008,176,1285.154433
416.205938,163,1288.446717
538.127899,182,1292.197543
592.716484,208,1296.340927
585.241219,208,1300.58546
544.443128,180,1304.258781
515.478774,170,1310.794533
673.933374,264,1316.610088
361.12803,179,1320.46684
563.464924,202,1324.661299
516.160225,171,1328.279411
557.177492,194,1332.271842
428.371213,145,1335.671416
565.379694,201,1342.622111
544.497499,198,1347.390982
544.82904,176,1351.647715
679.254226,246,1357.088021
529.541042,187,1361.539017
468.923992,166,1365.368966
591.512329,203,1369.952257
518.469529,181,1376.994962
296.353535,136,1380.255196
601.931106,234,1386.179196
646.982536,251,1391.990148
510.080142,170,1395.833165
520.405022,175,1399.767093
567.371688,220,1404.916977
551.193807,212,1412.43128
721.172715,271,1418.604994
516.982591,173,1422.52739
541.363307,183,1426.329654
471.133117,156,1429.674441
429.957631,153,1432.878181
544.497742,185,1436.798965
74.571942,41,1437.633927
459.94485,153,1441.25111
666.706893,267,1449.666664
627.970776,212,1454.257545
481.985016,163,1457.919821
526.283882,188,1461.772552
514.140623,172,1465.249968
540.89409,184,1468.947713
441.009978,153,1472.251365
431.820577,150,1475.528495
461.755523,151,1478.575862
518.754629,177,1485.018731
476.259219,160,1488.519523
483.746535,165,1491.895061
513.100188,175,1495.440227
498.89953,174,1498.881111
517.162111,172,1502.435712
527.243914,183,1506.11769
527.355126,177,1509.807376
456.82677,157,1513.104556
530.896553,183,1519.306555
409.840666,143,1522.179675
525.179751,173,1525.68956
512.061445,174,1529.183991
495.634117,165,1532.585865
538.682674,178,1536.168924
482.126158,163,1539.518244
518.033575,172,1542.990659
513.559624,170,1546.473776
493.303916,166,1552.454249
510.005712,168,1555.941155
483.997187,160,1559.24275
533.634623,174,1562.81253
579.986957,194,1566.756571
509.019381,171,1570.219064
527.641104,175,1573.845214
497.20206,162,1577.25388
511.068712,167,1580.608561
573.17876,187,1586.678632
482.00708,160,1589.887711
574.749272,190,1593.80755
530.55953,179,1597.380046
484.196089,156,1600.513754
538.266947,172,1603.95838
478.517351,159,1607.152885
526.092624,173,1610.697582
502.495189,165,1614.009846
541.755094,177,1620.503754
523.569279,172,1624.124602
503.209881,168,1627.57359
525.816515,173,1631.096603
517.101928,174,1634.570496
481.484648,162,1640.470715
499.671702,165,1645.228358
539.6457,180,1649.947799
510.905587,171,1657.109094
590.355807,192,1661.442342
591.602624,192,1665.305314
489.833006,163,1668.616239
498.991185,168,1672.01249
479.633553,158,1675.151857
458.22642,153,1678.208661
461.19977,158,1681.391175
526.389164,178,1685.07246
505.951145,172,1691.370846
559.157961,186,1695.122347
457.797283,159,1698.34287
511.056992,173,1701.983825
580.351718,197,1705.916255
521.208624,173,1709.396991
558.673778,185,1713.188936
562.795754,183,1716.838193
544.213373,181,1720.429533
640.818201,209,1727.807895
569.010361,186,1731.870606
577.277578,192,1736.047872
641.509625,239,1740.91275
533.467225,174,1744.574902
594.313665,199,1748.840677
552.208581,181,1752.718098
666.234462,218,1757.221502
518.709222,168,1763.418334
511.278999,165,1766.788952
547.647471,181,1770.641146
550.797115,179,1774.345174
583.89626,197,1778.396214
537.782032,182,1782.090187
753.501875,248,1787.478636
505.034131,160,1790.809037
716.111305,234,1798.355966
725.383807,234,1803.285464
620.514839,210,1807.820221
523.009289,175,1811.357115
587.555748,200,1815.446465
536.977877,174,1819.020672
633.19809,211,1823.387866
653.997272,222,1830.547373
689.091033,231,1835.457954
778.246172,255,1840.817273
699.585059,239,1845.712188
565.359168,190,1849.64056
722.027708,247,1854.728689
673.559336,219,1859.296247
697.203529,238,1866.809449
506.989577,186,1870.715014
658.589364,220,1875.402068
700.412465,239,1880.403722
546.760076,182,1884.217374
763.534318,263,1889.611911
718.795827,237,1894.473475
692.629065,233,1901.931372
679.850095,229,1907.102847
681.65042,230,1912.056032
717.342822,246,1917.096452
